Site code,HYMO  type,"Highly rheophilic, intolerant species","Rheophilic benthic species, preferring sandy-gravel bottom substrate","Rheophilic water column species, preferring sandy-gravel bottom substrate",Limnophilic benthic species of moderate tolerance,Limnophilic water column species of moderate tolerance,"Intolerant, rheophilic benthic species, preferring detritus or pelal bottom substrate","Intolerant, water column species",Limnophilic lithophilic species of moderate tolerance,Limnophilic phytophilic species of moderate tolerance,Benthic species  of moderate tolerance,Generalists - tolerant species
SE0589,5,0.968253968,0,0,0,0,0,0,0,0,0.031746032,0
SE0590,5,0.895833333,0,0,0,0,0,0,0,0,0.020833333,0.083333333
SE0597,5,1,0,0,0,0,0,0,0,0,0,0
SE0603,5,0.928571429,0,0.053571429,0,0,0,0,0,0,0.017857143,0
SE0611,5,1,0,0,0,0,0,0,0,0,0,0
SE0612,5,1,0,0,0,0,0,0,0,0,0,0
SE0618,5,1,0,0,0,0,0,0,0,0,0,0
SE0619,5,1,0,0,0,0,0,0,0,0,0,0
SE0620,5,0.5625,0,0.4375,0,0,0,0,0,0,0,0
SE0636,5,0.476190476,0,0.523809524,0,0,0,0,0,0,0,0
SE0645,5,1,0,0,0,0,0,0,0,0,0,0
SE0646,5,0.875,0,0,0,0,0,0,0,0.0625,0.0625,0
SE0649,5,1,0,0,0,0,0,0,0,0,0,0
SE0650,5,1,0,0,0,0,0,0,0,0,0,0
SE0653,5,1,0,0,0,0,0,0,0,0,0,0
SE0654,5,1,0,0,0,0,0,0,0,0,0,0
SE0657,5,0.5,0,0.25,0,0,0,0,0,0,0.25,0
SE0659,14,1,0,0,0,0,0,0,0,0,0,0
SE0660,14,1,0,0,0,0,0,0,0,0,0,0
SE0661,14,1,0,0,0,0,0,0,0,0,0,0
SE0662,5,1,0,0,0,0,0,0,0,0,0,0
SE0664,5,1,0,0,0,0,0,0,0,0,0,0
SE0665,5,1,0,0,0,0,0,0,0,0,0,0
SE0666,5,0.943548387,0,0.040322581,0,0,0,0,0,0,0.016129032,0
SE0667,5,1,0,0,0,0,0,0,0,0,0,0
SE0668,5,1,0,0,0,0,0,0,0,0,0,0
SE0669,12,0.369230769,0.246153846,0.369230769,0,0,0,0,0,0,0.015384615,0
SE0670,12,0.362318841,0,0.608695652,0,0,0,0,0,0,0.028985507,0
SE0671,12,0.340909091,0,0.651515152,0,0,0,0,0,0,0.007575758,0
